State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,1221592,641011,580581,641191,240519,71610,1163804,33724,1351,1034,69,20390
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,1221592,641011,580581,641191,240519,71610,1163804,33724,1351,1034,69,20390
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,1104285,593537,510748,653299,241198,474,1010014,91269,814,196,74,41
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,875958,466358,409600,488106,220898,647,815142,57454,965,389,94,234
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,875958,466358,409600,488106,220898,647,815142,57454,965,389,94,234
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,875958,466358,409600,488106,220898,647,815142,57454,965,389,94,234
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,965876,833534,1002937,387855,163,1637549,157612,1367,231,168,916
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,965876,833534,1002937,387855,163,1637549,157612,1367,231,168,916
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,965876,833534,1002937,387855,163,1637549,157612,1367,231,168,916
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,527721,464009,531072,266655,366,955372,34559,693,63,101,285
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,527721,464009,531072,266655,366,955372,34559,693,63,101,285
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,527721,464009,531072,266655,366,955372,34559,693,63,101,285
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,1384722,1248011,1512166,651480,340,2274674,350700,2201,402,172,199
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,1384722,1248011,1512166,651480,340,2274674,350700,2201,402,172,199
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,1384722,1248011,1512166,651480,340,2274674,350700,2201,402,172,199
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,3209141,1606085,1603056,1931559,709252,723,2731351,452394,3920,1451,7795,746
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1599596,838485,761111,813424,555397,193,1372381,220423,2225,522,687,545
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1599596,838485,761111,813424,555397,193,1372381,220423,2225,522,687,545
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1599596,838485,761111,813424,555397,193,1372381,220423,2225,522,687,545
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,3665727,1309851,7955,5102041,796756,13782,4377,4391,2247
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,3665727,1309851,7955,5102041,796756,13782,4377,4391,2247
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,3665727,1309851,7955,5102041,796756,13782,4377,4391,2247
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1707073,1553626,1692458,864559,610,2505444,737106,4857,2090,1553,3016
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1707073,1553626,1692458,864559,610,2505444,737106,4857,2090,1553,3016
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1707073,1553626,1692458,864559,610,2505444,737106,4857,2090,1553,3016
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,1259628,1211368,1450901,555047,931,2094271,365806,3225,1912,737,358
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,1259628,1211368,1450901,555047,931,2094271,365806,3225,1912,737,358
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,1259628,1211368,1450901,555047,931,2094271,365806,3225,1912,737,358
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1486939,591125,746,1985654,401678,2536,869,1817,235
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1486939,591125,746,1985654,401678,2536,869,1817,235
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1486939,591125,746,1985654,401678,2536,869,1817,235
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,3797117,1914586,1882531,2239902,851587,696,3119590,650261,4453,1629,9989,426
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,3797117,1914586,1882531,2239902,851587,696,3119590,650261,4453,1629,9989,426
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,3797117,1914586,1882531,2239902,851587,696,3119590,650261,4453,1629,9989,426
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,1398368,509307,11159,2291892,1169330,6400,8212,2793,1177
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,1398368,509307,11159,2291892,1169330,6400,8212,2793,1177
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,1398368,509307,11159,2291892,1169330,6400,8212,2793,1177
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,1114721,1033944,868357,277212,24887,1333242,805975,3228,900,1866,198
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,1114721,1033944,868357,277212,24887,1333242,805975,3228,900,1866,198
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,1114721,1033944,868357,277212,24887,1333242,805975,3228,900,1866,198
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1787146,1646773,1679994,531973,870,2739076,678615,4735,1893,649,338
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1787146,1646773,1679994,531973,870,2739076,678615,4735,1893,649,338
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1787146,1646773,1679994,531973,870,2739076,678615,4735,1893,649,338
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,1255272,1209192,1393783,513959,3620,2082976,364510,3493,900,9753,107
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,1255272,1209192,1393783,513959,3620,2082976,364510,3493,900,9753,107
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,1255272,1209192,1393783,513959,3620,2082976,364510,3493,900,9753,107
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,1715183,869656,845527,954949,369039,1593,1300586,404410,1766,447,4393,95
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,1715183,869656,845527,954949,369039,1593,1300586,404410,1766,447,4393,95
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,1715183,869656,845527,954949,369039,1593,1300586,404410,1766,447,4393,95
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,4440895,2277777,2163118,2700328,936061,18172,4009037,403847,9662,2123,2848,460
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,4440895,2277777,2163118,2700328,936061,18172,4009037,403847,9662,2123,2848,460
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,4440895,2277777,2163118,2700328,936061,18172,4009037,403847,9662,2123,2848,460
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,3564544,1818055,1746489,1954820,544231,80269,2928462,620244,5006,767,4619,383
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,3564544,1818055,1746489,1954820,544231,80269,2928462,620244,5006,767,4619,383
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,3564544,1818055,1746489,1954820,544231,80269,2928462,620244,5006,767,4619,383
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1537436,1563510,1875239,468663,109894,2730957,358539,3626,818,1182,209
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1537436,1563510,1875239,468663,109894,2730957,358539,3626,818,1182,209
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1537436,1563510,1875239,468663,109894,2730957,358539,3626,818,1182,209
Uttar Pradesh,Azamgarh,26.00829095477384,83.01220251256285,4613913,2285004,2328909,2771917,1171378,9327,3878626,718692,3810,719,5652,183
Uttar Pradesh,Azamgarh,26.00829095477384,83.01220251256285,4613913,2285004,2328909,2771917,1171378,9327,3878626,718692,3810,719,5652,183
Uttar Pradesh,Azamgarh,26.00829095477384,83.01220251256285,4613913,2285004,2328909,2771917,1171378,9327,3878626,718692,3810,719,5652,183
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,2205968,1114709,1091259,1363044,474537,22915,1769937,428555,2109,340,564,155
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,2205968,1114709,1091259,1363044,474537,22915,1769937,428555,2109,340,564,155
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,2205968,1114709,1091259,1363044,474537,22915,1769937,428555,2109,340,564,155
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,1963590,494698,110114,3004240,213440,4463,892,1595,233
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,1963590,494698,110114,3004240,213440,4463,892,1595,233
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,1963590,494698,110114,3004240,213440,4463,892,1595,233
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,4494204,2220465,2273739,2731677,990345,4736,3981502,483750,4947,1286,7898,349
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,4494204,2220465,2273739,2731677,990345,4736,3981502,483750,4947,1286,7898,349
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,4494204,2220465,2273739,2731677,990345,4736,3981502,483750,4947,1286,7898,349
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1855075,1765193,2197549,726641,28712,3233790,368153,4181,810,3145,213
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1855075,1765193,2197549,726641,28712,3233790,368153,4181,810,3145,213
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1855075,1765193,2197549,726641,28712,3233790,368153,4181,810,3145,213
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,1017905,934851,1174606,446786,41725,1727869,215081,2153,1389,340,100
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,1017905,934851,1174606,446786,41725,1727869,215081,2153,1389,340,100
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,1017905,934851,1174606,446786,41725,1727869,215081,2153,1389,340,100
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,3676841,1921857,1754984,2403903,486958,28617,3107681,546987,7696,3309,1146,1898
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,3676841,1921857,1754984,2403903,486958,28617,3107681,546987,7696,3309,1146,1898
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,3676841,1921857,1754984,2403903,486958,28617,3107681,546987,7696,3309,1146,1898
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2496970,1312302,1184668,1428683,661129,20132,2292534,195765,2373,1133,341,701
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2496970,1312302,1184668,1428683,661129,20132,2292534,195765,2373,1133,341,701
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2496970,1312302,1184668,1428683,661129,20132,2292534,195765,2373,1133,341,701
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,1862559,971344,891215,985708,421661,385018,1738769,103567,3963,1649,1747,487
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,1862559,971344,891215,985708,421661,385018,1738769,103567,3963,1649,1747,487
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,1862559,971344,891215,985708,421661,385018,1738769,103567,3963,1649,1747,487
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,947339,827141,1055202,281011,140,1611126,146346,2464,708,2887,5671
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,947339,827141,1055202,281011,140,1611126,146346,2464,708,2887,5671
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,947339,827141,1055202,281011,140,1611126,146346,2464,708,2887,5671
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1759481,553944,250046,3047427,865090,8469,926,1337,296
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1759481,553944,250046,3047427,865090,8469,926,1337,296
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1759481,553944,250046,3047427,865090,8469,926,1337,296
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,2276957,649726,12461,4086453,990349,4865,668,878,464
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,2276957,649726,12461,4086453,990349,4865,668,878,464
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,2276957,649726,12461,4086453,990349,4865,668,878,464
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,283698,96655,318,552492,99342,522,216,73,52
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,283698,96655,318,552492,99342,522,216,73,52
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,283698,96655,318,552492,99342,522,216,73,52
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,1436794,405714,2989,2672311,740101,2897,261,253,188
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,1436794,405714,2989,2672311,740101,2897,261,253,188
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,1436794,405714,2989,2672311,740101,2897,261,253,188
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,2155338,587158,3990,3652168,818912,3262,564,328,442
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,2155338,587158,3990,3652168,818912,3262,564,328,442
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,2155338,587158,3990,3652168,818912,3262,564,328,442
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,1033283,354249,10168,1809936,409251,3758,271,136,546
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,1033283,354249,10168,1809936,409251,3758,271,136,546
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,1033283,354249,10168,1809936,409251,3758,271,136,546
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,1195768,382654,38848,1593525,1207442,4116,371,187,1910
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,1195768,382654,38848,1593525,1207442,4116,371,187,1910
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,1195768,382654,38848,1593525,1207442,4116,371,187,1910
Bihar,Kishanganj,26.32433675832129,87.95045007235886,1690400,866970,823430,745056,113118,64224,531236,1149095,5783,398,183,1476
Bihar,Kishanganj,26.32433675832129,87.95045007235886,1690400,866970,823430,745056,113118,64224,531236,1149095,5783,398,183,1476
Bihar,Kishanganj,26.32433675832129,87.95045007235886,1690400,866970,823430,745056,113118,64224,531236,1149095,5783,398,183,1476
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,1332326,390991,139490,1989420,1255641,7989,614,353,1450
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,1332326,390991,139490,1989420,1255641,7989,614,353,1450
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,1332326,390991,139490,1989420,1255641,7989,614,353,1450
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,1280190,263100,179971,1684589,1365645,8659,2754,212,507
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,1280190,263100,179971,1684589,1365645,8659,2754,212,507
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,1280190,263100,179971,1684589,1365645,8659,2754,212,507
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,834577,346275,12532,1753829,241760,1342,170,60,133
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,834577,346275,12532,1753829,241760,1342,170,60,133
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,834577,346275,12532,1753829,241760,1342,170,60,133
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,804996,317249,6009,1629254,266620,1292,197,60,109
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,804996,317249,6009,1629254,266620,1292,197,60,109
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,804996,317249,6009,1629254,266620,1292,197,60,109
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1816634,615688,2772,3042729,881476,3534,832,245,236
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1816634,615688,2772,3042729,881476,3534,832,245,236
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1816634,615688,2772,3042729,881476,3534,832,245,236
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,2509232,751975,5979,4032773,745546,5149,933,288,382
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,2509232,751975,5979,4032773,745546,5149,933,288,382
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,2509232,751975,5979,4032773,745546,5149,933,288,382
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,1382998,320064,60807,2119262,436057,2463,271,167,133
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,1382998,320064,60807,2119262,436057,2463,271,167,133
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,1382998,320064,60807,2119262,436057,2463,271,167,133
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1930175,386685,87000,2712635,608282,2618,369,407,359
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1930175,386685,87000,2712635,608282,2618,369,407,359
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1930175,386685,87000,2712635,608282,2618,369,407,359
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,2157454,474066,36786,3534772,406449,2330,371,229,322
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,2157454,474066,36786,3534772,406449,2330,371,229,322
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,2157454,474066,36786,3534772,406449,2330,371,229,322
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1926740,738031,2274,3152346,333980,2203,707,362,246
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1926740,738031,2274,3152346,333980,2203,707,362,246
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1926740,738031,2274,3152346,333980,2203,707,362,246
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,2142880,803128,1884,3800598,452370,2126,554,292,231
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,2142880,803128,1884,3800598,452370,2126,554,292,231
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,2142880,803128,1884,3800598,452370,2126,554,292,231
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,1548673,432270,1597,2554330,407348,2209,402,229,276
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,1548673,432270,1597,2554330,407348,2209,402,229,276
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,1548673,432270,1597,2554330,407348,2209,402,229,276
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,768028,247161,675,1486989,175588,1253,143,79,86
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,768028,247161,675,1486989,175588,1253,143,79,86
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,768028,247161,675,1486989,175588,1253,143,79,86
Bihar,Bhagalpur,25.27719288537548,87.04213814229242,3037766,1615663,1422103,1573066,318569,67180,2487866,537098,3556,415,180,1050
Bihar,Bhagalpur,25.27719288537548,87.04213814229242,3037766,1615663,1422103,1573066,318569,67180,2487866,537098,3556,415,180,1050
Bihar,Bhagalpur,25.27719288537548,87.04213814229242,3037766,1615663,1422103,1573066,318569,67180,2487866,537098,3556,415,180,1050
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,965321,247858,90432,1772655,250925,6138,139,113,94
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,965321,247858,90432,1772655,250925,6138,139,113,94
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,965321,247858,90432,1772655,250925,6138,139,113,94
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,801817,183846,21404,1252319,110416,1815,338,95,145
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,801817,183846,21404,1252319,110416,1815,338,95,145
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,801817,183846,21404,1252319,110416,1815,338,95,145
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,507270,153209,8333,956396,40886,487,140,52,78
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,507270,153209,8333,956396,40886,487,140,52,78
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,507270,153209,8333,956396,40886,487,140,52,78
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,328676,131115,617,596102,37653,313,75,41,43
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,328676,131115,617,596102,37653,313,75,41,43
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,328676,131115,617,596102,37653,313,75,41,43
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,1519933,607672,1442,2669775,198033,1978,393,414,561
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,1519933,607672,1442,2669775,198033,1978,393,414,561
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,1519933,607672,1442,2669775,198033,1978,393,414,561
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,3459679,920918,9069,5356075,439952,12551,4803,1062,2151
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,3459679,920918,9069,5356075,439952,12551,4803,1062,2151
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,3459679,920918,9069,5356075,439952,12551,4803,1062,2151
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,1599151,425402,13977,2518216,197819,2165,544,647,1472
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,1599151,425402,13977,2518216,197819,2165,544,647,1472
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,1599151,425402,13977,2518216,197819,2165,544,647,1472
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,989807,251737,26824,1591454,105423,2125,248,5090,97
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,989807,251737,26824,1591454,105423,2125,248,5090,97
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,989807,251737,26824,1591454,105423,2125,248,5090,97
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1799832,549546,31650,2645415,300487,2889,2569,1584,252
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1799832,549546,31650,2645415,300487,2889,2569,1584,252
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1799832,549546,31650,2645415,300487,2889,2569,1584,252
Bihar,Aurangabad,24.77429186746988,84.45986024096379,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Bihar,Aurangabad,24.77429186746988,84.45986024096379,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Bihar,Aurangabad,24.77429186746988,84.45986024096379,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Bihar,Aurangabad,24.77429186746988,84.45986024096379,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
Bihar,Aurangabad,24.77429186746988,84.45986024096379,2540073,1318684,1221389,1466002,612064,1033,2291133,237353,2218,295,334,775
