State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Punjab,Rupnagar,30.910937330754347,76.53743500967126,684627,357485,327142,502731,180905,0,304481,14492,2094,361045,118,653
Punjab,Sangrur,30.18504520433689,75.89437014178496,1655169,878029,777140,1002077,461609,0,389410,179116,2406,1077438,268,3222
Punjab,Sangrur,30.18504520433689,75.89437014178496,1655169,878029,777140,1002077,461609,0,389410,179116,2406,1077438,268,3222
Punjab,Sangrur,30.18504520433689,75.89437014178496,1655169,878029,777140,1002077,461609,0,389410,179116,2406,1077438,268,3222
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,199086,0,852574,51447,8720,138329,1160,1960
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,199086,0,852574,51447,8720,138329,1160,1960
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,199086,0,852574,51447,8720,138329,1160,1960
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,168597,161489,215126,80567,3512,324859,3554,353,167,563,74
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,168597,161489,215126,80567,3512,324859,3554,353,167,563,74
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,168597,161489,215126,80567,3512,324859,3554,353,167,563,74
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,391605,193991,197614,280556,79317,12260,385818,4395,428,323,190,11
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,391605,193991,197614,280556,79317,12260,385818,4395,428,323,190,11
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,391605,193991,197614,280556,79317,12260,385818,4395,428,323,190,11
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,297986,320945,407994,102130,875,609835,7374,656,290,32,91
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,297986,320945,407994,102130,875,609835,7374,656,290,32,91
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,297986,320945,407994,102130,875,609835,7374,656,290,32,91
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,483439,239306,244133,345550,120378,19535,475105,6015,1401,260,185,13
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,483439,239306,244133,345550,120378,19535,475105,6015,1401,260,185,13
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,483439,239306,244133,345550,120378,19535,475105,6015,1401,260,185,13
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,259898,124326,135572,179483,72061,1982,257509,1440,397,46,102,7
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,259898,124326,135572,179483,72061,1982,257509,1440,397,46,102,7
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,259898,124326,135572,179483,72061,1982,257509,1440,397,46,102,7
